"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed May 15 14:10:50 CEST 2024","Wed May 15 14:10:52 CEST 2024","1840","","Validaion of product searching and adding to card","","","","""before all"" hook for Validaion of product searching and adding to card",""
"passed","Wed May 15 08:39:34 CEST 2024","Wed May 15 08:39:41 CEST 2024","7230","","Validaion of product searching and adding to card","","","","Check that the total amount of items is displayed correctly in the cart",""
"passed","Fri May 17 17:50:17 CEST 2024","Fri May 17 17:50:17 CEST 2024","899","","Validaion of Registration functionality","","","","should return The password and confirmation password do not match. error message is user left empty Anna,Wide,pass000,pass001 required field",""
"passed","Wed May 15 08:39:41 CEST 2024","Wed May 15 08:39:42 CEST 2024","1288","","Validaion of product searching and adding to card","","","","""after all"" hook for Validaion of product searching and adding to card",""
"passed","Mon May 13 17:29:40 CEST 2024","Mon May 13 17:29:40 CEST 2024","893","","Validaion of product searching and adding to card","","","","""after all"" hook for Validaion of product searching and adding to card",""
"skipped","Fri May 17 15:55:34 CEST 2024","Fri May 17 15:55:34 CEST 2024","0","","Validaion of Login functionality","","","","Check that error message aprrears after login with invalid password",""
"passed","Wed May 15 14:10:58 CEST 2024","Wed May 15 14:10:59 CEST 2024","1141","","Validaion of product searching and adding to card","","","","""after all"" hook for Validaion of product searching and adding to card",""
"skipped","Fri May 17 17:49:52 CEST 2024","Fri May 17 17:49:52 CEST 2024","3","","Validaion of product searching and adding to card","","","","Check that added products are displayed in Compare List",""
"skipped","Fri May 17 17:50:43 CEST 2024","Fri May 17 17:50:43 CEST 2024","1","","Validaion of product searching and adding to Wishlist","","","","Check that link generated in Wishlist redirects to List of added product in Wishlist",""
"skipped","Sun May 12 10:58:35 CEST 2024","Sun May 12 10:58:35 CEST 2024","1","","Validaion of Login functionality","","","","Check that error message aprrears if entered email has incorrect format",""
"passed","Thu May 16 18:35:47 CEST 2024","Thu May 16 18:35:48 CEST 2024","535","","Validaion of product searching and adding to Wishlist","","","","""after all"" hook for Validaion of product searching and adding to Wishlist",""
"skipped","Fri May 17 15:55:47 CEST 2024","Fri May 17 15:55:47 CEST 2024","1","","Validaion of product searching and adding to card","","","","Check that the purchase counter increases after adding items",""
"passed","Fri May 17 17:50:14 CEST 2024","Fri May 17 17:50:16 CEST 2024","1161","","Validaion of Registration functionality","","","","should return Last name is required. error message is user left empty Anna,,pass123,pass123 required field",""
"skipped","Fri May 17 17:50:02 CEST 2024","Fri May 17 17:50:02 CEST 2024","2","","Validaion of Login functionality","","","","Check that error message aprrears after login with invalid password",""
"skipped","Wed May 15 08:39:32 CEST 2024","Wed May 15 08:39:32 CEST 2024","0","","Validaion of Login functionality","","","","Check that error message aprrears if entered email has incorrect format",""
